,IdList
1902,30070874
1903,30070863
1904,30070698
1905,30070430
1906,30070132
1907,30070120
1908,30070119
1909,30070039
1910,30069718
1911,30069617
1912,30069438
1913,30068894
1914,30068393
1915,30068362
1916,30068245
1917,30067966
1918,30066870
1919,30066723
1920,30066638
1921,30066362
1922,30066187
1923,30065654
1924,30064988
1925,30064879
1926,30064535
1927,30064525
1928,30064292
1929,30063917
1930,30063762
1931,30063435
1932,30063080
1933,30063037
1934,30062748
1935,30062572
1936,30062201
1937,30062200
1938,30062167
1939,30061916
1940,30061575
1941,30060746
1942,30060620
1943,30060618
1944,30060614
1945,30060507
1946,30060300
1947,30060148
1948,30059859
1949,30058859
1950,30058507
1951,30058496
1952,30058397
1953,30058212
1954,30057822
1955,30057806
1956,30057681
1957,30057677
1958,30057496
1959,30057115
1960,30056589
1961,30056455
1962,30056325
1963,30056103
1964,30055803
1965,30055774
1966,30055711
1967,30055710
1968,30055592
1969,30054579
1970,30054563
1971,30054537
1972,30054532
1973,30054493
1974,30053283
1975,30052516
1976,30052315
1977,30051959
1978,30051787
1979,30051772
1980,30050737
1981,30049949
1982,30049823
1983,30049822
1984,30048968
1985,30048723
1986,30047332
1987,30047243
1988,30046010
1989,30046001
1990,30045433
1991,30045431
1992,30045019
1993,30045004
1994,30044843
1995,30044214
1996,30044048
1997,30043820
1998,30043314
1999,30043179
2000,30043014
2001,30042922
2002,30042730
2003,30041699
2004,30041671
2005,30041488
2006,30041479
2007,30041446
2008,30041437
2009,30041171
2010,30040095
2011,30039436
2012,30037126
2013,30037112
2014,30037087
2015,30037019
2016,30036996
2017,30036679
2018,30036374
2019,30036193
2020,30035631
2021,30034656
2022,30034345
2023,30034246
2024,30033779
2025,30033659
2026,30033418
2027,30033356
2028,30033101
2029,30032989
2030,30032988
2031,30032952
2032,30032721
2033,30031858
2034,30031673
2035,30031501
2036,30031269
2037,30031229
2038,30031175
2039,30030684
2040,30030460
2041,30030373
2042,30029962
2043,30029734
2044,30028214
2045,30027366
2046,30027297
2047,30026784
2048,30026535
2049,30026488
2050,30026270
2051,30025860
2052,30024912
2053,30024775
2054,30022762
2055,30022469
2056,30022354
2057,30022159
2058,30022054
2059,30021938
2060,30021705
2061,30020966
2062,30019290
2063,30019168
2064,30019102
2065,30018820
2066,30018499
2067,30018405
2068,30018312
2069,30018277
2070,30018241
2071,30018076
2072,30017782
2073,30017743
2074,30017513
2075,30016962
2076,20301424
2077,30016681
2078,30016518
2079,30016512
2080,30016149
2081,30015296
2082,30015256
2083,30015241
2084,30014868
2085,30014743
2086,30014320
2087,30013603
2088,30013377
2089,30013137
2090,30013070
2091,30012885
2092,30012180
2093,30012120
2094,30011873
2095,30011827
2096,30010047
2097,30009766
2098,30009480
2099,30009396
2100,30008789
2101,30008758
2102,30008441
2103,30007970
